timestamp,cell_id,prb_dl_util,throughput_mbps,rrc_users,latency_ms
2024-01-01 00:00:00,CELL_001,42.0,81.5,116,18.4
2024-01-01 01:00:00,CELL_001,44.5,84.1,121,18.9
2024-01-01 02:00:00,CELL_001,43.8,82.7,119,18.7
2024-01-01 03:00:00,CELL_001,41.9,79.8,111,18.1
2024-01-01 04:00:00,CELL_001,40.7,76.4,106,17.8
2024-01-01 05:00:00,CELL_001,43.1,78.2,114,18.5
2024-01-01 06:00:00,CELL_001,49.2,91.4,139,20.4
2024-01-01 07:00:00,CELL_001,57.8,112.6,181,24.8
2024-01-01 08:00:00,CELL_001,64.1,128.9,214,29.3
2024-01-01 09:00:00,CELL_001,68.7,139.5,236,33.2
2024-01-01 10:00:00,CELL_001,71.3,145.1,249,36.9
2024-01-01 11:00:00,CELL_001,73.8,150.8,263,39.1
2024-01-01 12:00:00,CELL_001,76.4,158.6,278,41.8
2024-01-01 13:00:00,CELL_001,78.9,164.2,289,44.5
2024-01-01 14:00:00,CELL_001,80.5,166.8,297,46.2
2024-01-01 15:00:00,CELL_001,82.1,171.5,306,48.3
2024-01-01 16:00:00,CELL_001,84.7,178.9,318,52.6
2024-01-01 17:00:00,CELL_001,88.5,191.4,342,59.2
2024-01-01 18:00:00,CELL_001,91.2,205.7,366,66.8
2024-01-01 19:00:00,CELL_001,89.4,199.2,351,62.4
2024-01-01 20:00:00,CELL_001,83.7,176.5,314,50.2
2024-01-01 21:00:00,CELL_001,75.6,152.1,273,41.5
2024-01-01 22:00:00,CELL_001,63.4,126.7,218,30.1
2024-01-01 23:00:00,CELL_001,52.8,101.2,166,22.7
2024-01-02 00:00:00,CELL_001,43.3,82.8,118,18.6
2024-01-02 01:00:00,CELL_001,45.6,86.3,126,19.2
2024-01-02 02:00:00,CELL_001,44.9,84.6,123,18.9
2024-01-02 03:00:00,CELL_001,42.6,80.2,113,18.2
2024-01-02 04:00:00,CELL_001,41.8,77.5,109,17.9
2024-01-02 05:00:00,CELL_001,44.2,79.9,117,18.7
2024-01-02 06:00:00,CELL_001,50.5,94.1,143,20.9
2024-01-02 07:00:00,CELL_001,59.1,116.4,188,25.9
2024-01-02 08:00:00,CELL_001,66.8,134.8,222,31.4
2024-01-02 09:00:00,CELL_001,70.9,143.7,242,35.1
2024-01-02 10:00:00,CELL_001,73.2,149.6,255,38.2
2024-01-02 11:00:00,CELL_001,75.9,156.3,270,41.2
2024-01-02 12:00:00,CELL_001,79.4,166.1,291,45.4
2024-01-02 13:00:00,CELL_001,82.8,175.5,309,50.1
2024-01-02 14:00:00,CELL_001,86.3,185.7,331,56.6
2024-01-02 15:00:00,CELL_001,89.6,198.4,354,63.9
2024-01-02 16:00:00,CELL_001,92.8,211.6,379,72.4
2024-01-02 17:00:00,CELL_001,94.5,219.8,393,78.1
2024-01-02 18:00:00,CELL_001,96.1,228.4,411,84.7
2024-01-02 19:00:00,CELL_001,93.7,216.2,385,75.8
2024-01-02 20:00:00,CELL_001,86.9,188.7,337,59.4
2024-01-02 21:00:00,CELL_001,78.2,160.4,281,43.9
2024-01-02 22:00:00,CELL_001,65.9,131.8,226,31.8
2024-01-02 23:00:00,CELL_001,54.1,104.6,171,23.5
