feature,importance,coefficient
rrc_users,2.9607840546592126,2.9607840546592126
hour_cos,2.595289311661796,2.595289311661796
hour_sin,2.2323575120524684,-2.2323575120524684
edge_gpu_util_pct_lag_6,1.4925729986443754,-1.4925729986443754
throughput_ul_mbps,1.3063066093228843,-1.3063066093228843
edge_memory_util_pct,1.0372780937896384,1.0372780937896384
dow_cos,1.0304078101456706,-1.0304078101456706
edge_gpu_util_pct_lag_2,1.0246169247792307,1.0246169247792307
latency_ms,0.7880188868533295,0.7880188868533295
prb_dl_util,0.7685119050947018,0.7685119050947018
hour,0.5965122678669077,-0.5965122678669077
edge_gpu_util_pct_lag_3,0.5131037649244202,0.5131037649244202
throughput_dl_mbps,0.46866338877210145,0.46866338877210145
sinr_db,0.4380567587597754,0.4380567587597754
prb_ul_util,0.42156516007756806,-0.42156516007756806
dow_sin,0.3235735682654741,-0.3235735682654741
edge_gpu_util_pct_lag_12,0.2837999075025499,0.2837999075025499
edge_gpu_util_pct_lag_1,0.2814156350508223,-0.2814156350508223
packet_loss_pct,0.24811374561096394,-0.24811374561096394
dayofweek,0.14460842387682854,-0.14460842387682854
dayofmonth,0.1446084237349782,-0.1446084237349782
weekofyear,0.0,0.0
