feature,importance,coefficient
rrc_users,3.6109510106011213,3.6109510106011213
dow_cos,1.4229234891301503,1.4229234891301503
edge_memory_util_pct_lag_2,0.7490800671282898,0.7490800671282898
edge_gpu_util_pct,0.6367226966411849,0.6367226966411849
edge_memory_util_pct_lag_6,0.6202721016065769,0.6202721016065769
prb_ul_util,0.5771144120868215,-0.5771144120868215
prb_dl_util,0.5386993854544343,-0.5386993854544343
hour_cos,0.5072420969280566,-0.5072420969280566
latency_ms,0.4861038052345309,-0.4861038052345309
throughput_dl_mbps,0.4058299487858761,-0.4058299487858761
edge_memory_util_pct_lag_3,0.39691125249581605,-0.39691125249581605
throughput_ul_mbps,0.3662702964365677,-0.3662702964365677
dow_sin,0.177403220735046,-0.177403220735046
dayofweek,0.14666458483044945,-0.14666458483044945
dayofmonth,0.14666458451255865,-0.14666458451255865
edge_memory_util_pct_lag_12,0.12894484361495098,0.12894484361495098
sinr_db,0.1282370438301708,-0.1282370438301708
hour_sin,0.12232663710732883,0.12232663710732883
packet_loss_pct,0.08412315226466488,0.08412315226466488
edge_memory_util_pct_lag_1,0.05383356243635272,0.05383356243635272
hour,0.013384068905268907,0.013384068905268907
weekofyear,0.0,0.0
