feature,importance,coefficient
internet_traffic_lag_1,76.06996443534882,76.06996443534882
hour_cos,10.943805945324987,-10.943805945324987
dayofweek,8.031724141325034,-8.031724141325034
internet_traffic_lag_3,7.953356116504154,-7.953356116504154
internet_traffic_lag_24,5.854418968735292,5.854418968735292
hour_sin,5.624617735546297,5.624617735546297
internet_traffic_lag_2,4.990329421264732,-4.990329421264732
hour,4.598351228507488,4.598351228507488
internet_traffic_lag_6,4.293801625830785,-4.293801625830785
dow_cos,2.567421417352614,-2.567421417352614
dow_sin,1.8233446051660385,1.8233446051660385
internet_traffic_lag_12,1.799372362794562,-1.799372362794562
dayofmonth,0.19389290320610703,-0.19389290320610703
weekofyear,0.06182110829834785,0.06182110829834785
