timestamp,forecast_step,y_hat
2014-01-01 23:00:00+00:00,1,168.32757368278544
2014-01-02 00:00:00+00:00,2,-538.1688986460013
2014-01-02 01:00:00+00:00,3,-1358.653170540887
2014-01-02 02:00:00+00:00,4,-1816.6752968260298
2014-01-02 03:00:00+00:00,5,-2463.5684967016623
2014-01-02 04:00:00+00:00,6,-2646.0744616278334
2014-01-02 05:00:00+00:00,7,-3183.6905547841016
2014-01-02 06:00:00+00:00,8,-3120.577543009549
2014-01-02 07:00:00+00:00,9,-3645.2224483686878
2014-01-02 08:00:00+00:00,10,-3350.513705247791
2014-01-02 09:00:00+00:00,11,-3961.579974118582
2014-01-02 10:00:00+00:00,12,-3413.2596714354695
2014-01-02 11:00:00+00:00,13,-4217.160629285825
2014-01-02 12:00:00+00:00,14,-3349.9317670174332
2014-01-02 13:00:00+00:00,15,-4474.907185008058
2014-01-02 14:00:00+00:00,16,-3171.6747260033717
2014-01-02 15:00:00+00:00,17,-4788.04812778363
2014-01-02 16:00:00+00:00,18,-2864.6649829706657
2014-01-02 17:00:00+00:00,19,-5211.238365101288
2014-01-02 18:00:00+00:00,20,-2391.175037050063
2014-01-02 19:00:00+00:00,21,-5811.110055251391
2014-01-02 20:00:00+00:00,22,-1686.2236034996895
2014-01-02 21:00:00+00:00,23,-6677.651606487325
2014-01-02 22:00:00+00:00,24,-649.4587514016475
