feature,importance
internet_traffic_lag_1,0.48873323731748897
internet_traffic_lag_24,0.3622572437479895
hour_cos,0.07690753219567714
hour,0.024181310129077357
internet_traffic_lag_6,0.014443725371688166
dow_sin,0.006813791906453658
internet_traffic_lag_3,0.005396617839822402
hour_sin,0.004380076897956981
internet_traffic_lag_2,0.0043719697208759204
dayofweek,0.0043661303011487155
weekofyear,0.0027099319108757048
dayofmonth,0.0026782412501198194
internet_traffic_lag_12,0.0026749747984299434
dow_cos,8.521661239576885e-05
