feature,importance
internet_traffic_lag_1,0.793005898172152
hour,0.10771886395280918
hour_cos,0.03858151532720273
internet_traffic_lag_24,0.02342288490543433
hour_sin,0.011401036843671813
internet_traffic_lag_2,0.00866854753700354
dow_sin,0.005255388113109413
internet_traffic_lag_3,0.0039864522630916445
dayofweek,0.0034230784967492645
internet_traffic_lag_6,0.0017055372632919258
dayofmonth,0.001310516469843788
internet_traffic_lag_12,0.0010613936879454008
weekofyear,0.00034686910198988857
dow_cos,0.00011201786570517245
