feature,importance,coefficient
internet_traffic_lag_1,9706.358646281325,9706.358646281325
internet_traffic_lag_2,2765.4067827499593,-2765.4067827499593
internet_traffic_lag_3,895.6528033680313,-895.6528033680313
hour_cos,873.5514291872355,-873.5514291872355
internet_traffic_lag_24,649.3024330664146,649.3024330664146
hour_sin,356.31124788282887,-356.31124788282887
internet_traffic_lag_6,290.0415651681491,-290.0415651681491
dayofweek,259.88426302353656,259.88426302353656
internet_traffic_lag_12,117.74977310221607,-117.74977310221607
dow_sin,114.63948572860338,-114.63948572860338
weekofyear,107.98040302237484,107.98040302237484
dayofmonth,63.82926209790176,-63.82926209790176
hour,56.204508740260145,56.204508740260145
dow_cos,6.724039253820028,6.724039253820028
