feature,importance,coefficient
hour_sin,5.0054582290658045,-5.0054582290658045
hour_cos,4.543940455508036,4.543940455508036
prb_ul_util,3.2337027967360834,3.2337027967360834
dow_cos,1.717939071442236,1.717939071442236
latency_ms,1.6103380109676477,1.6103380109676477
rrc_users,1.4484410932926013,1.4484410932926013
prb_dl_util_lag_1,1.3922758773030552,1.3922758773030552
throughput_dl_mbps,1.3150265879935583,-1.3150265879935583
packet_loss_pct,1.22933073436389,-1.22933073436389
prb_dl_util_lag_2,1.0841229991081536,-1.0841229991081536
dayofweek,0.6330961839554686,-0.6330961839554686
dayofmonth,0.6330961835166616,-0.6330961835166616
throughput_ul_mbps,0.5219815976311925,-0.5219815976311925
prb_dl_util_lag_3,0.4387281526503098,0.4387281526503098
prb_dl_util_lag_12,0.33117782179550426,0.33117782179550426
dow_sin,0.3046948710353819,-0.3046948710353819
hour,0.09221514650805973,-0.09221514650805973
sinr_db,0.013558498491364564,0.013558498491364564
prb_dl_util_lag_6,0.005311900946870346,-0.005311900946870346
weekofyear,0.0,0.0
