timestamp,cell_id,site_id,sector_id,technology,band,prb_dl_util,prb_ul_util,throughput_dl_mbps,throughput_ul_mbps,rrc_users,latency_ms,packet_loss_pct,sinr_db
2024-01-01 00:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,65.265,44.226,81.475,48.624,181,22.063,0.51,18.011
2024-01-01 01:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,61.818,41.438,105.564,52.971,204,20.86,0.415,18.192
2024-01-01 02:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,57.439,35.412,97.01,62.471,192,21.005,0.036,19.088
2024-01-01 03:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,51.786,33.569,113.535,68.817,189,19.798,0.0,19.125
2024-01-01 04:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,47.504,33.969,109.148,53.607,173,20.381,0.0,20.688
2024-01-01 05:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,39.522,25.432,128.395,70.197,160,18.592,0.0,20.899
2024-01-01 06:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,38.928,26.66,124.89,62.321,135,17.462,0.0,22.231
2024-01-01 07:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,32.924,24.286,132.873,67.742,120,17.971,0.0,22.08
2024-01-01 08:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,33.031,18.63,133.877,65.923,158,15.925,0.0,21.805
2024-01-01 09:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,34.254,24.0,135.025,70.328,142,17.109,0.0,20.664
2024-01-01 10:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,33.7,19.367,138.401,69.254,129,17.407,0.0,21.706
2024-01-01 11:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,38.893,23.72,126.856,59.029,151,16.486,0.0,19.991
2024-01-01 12:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,41.207,21.926,134.765,67.389,156,19.478,0.0,20.519
2024-01-01 13:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,41.056,24.099,110.755,69.278,174,18.854,0.0,19.414
2024-01-01 14:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,48.542,27.978,114.643,71.43,180,19.48,0.0,20.278
2024-01-01 15:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,53.622,38.682,110.465,60.568,199,19.153,0.0,18.876
2024-01-01 16:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,56.325,29.415,102.183,54.702,202,19.793,0.129,20.248
2024-01-01 17:00:00+00:00,CELL_001,SITE_01,SITE_01_SEC_1,5G NSA,n78,67.601,53.568,80.822,28.45,221,23.137,0.467,18.218
