feature,importance,coefficient
hour_sin,5.813455665880336,-5.813455665880336
hour_cos,5.121100765365831,5.121100765365831
prb_ul_util,2.8638781968232876,2.8638781968232876
latency_ms,1.4275682877142122,1.4275682877142122
rrc_users,1.378750052555376,1.378750052555376
throughput_dl_mbps,1.3305502712563495,-1.3305502712563495
dow_cos,1.2125623150901148,1.2125623150901148
prb_dl_util_lag_1,1.1281530660873222,1.1281530660873222
prb_dl_util_lag_12,1.0982349564433316,1.0982349564433316
prb_dl_util_lag_2,0.8925556721154446,-0.8925556721154446
throughput_ul_mbps,0.6617187110358851,-0.6617187110358851
dayofmonth,0.6104439566186018,-0.6104439566186018
dayofweek,0.610443956532718,-0.610443956532718
dow_sin,0.5058254189564934,-0.5058254189564934
hour,0.3615852396999783,-0.3615852396999783
prb_dl_util_lag_6,0.24358924132737025,0.24358924132737025
prb_dl_util_lag_3,0.239693041134698,-0.239693041134698
packet_loss_pct,0.15668240250028984,0.15668240250028984
sinr_db,0.09438045502920815,-0.09438045502920815
weekofyear,0.0,0.0
