feature,importance,coefficient
prb_ul_util,5.233751617430196,5.233751617430196
hour_sin,4.974770432954363,-4.974770432954363
packet_loss_pct,4.053364365830264,-4.053364365830264
hour_cos,3.2977735487173954,3.2977735487173954
prb_dl_util_lag_1,2.0987391359085934,2.0987391359085934
dow_cos,1.9392961432343545,1.9392961432343545
throughput_dl_mbps,1.8401692302669284,-1.8401692302669284
rrc_users,1.7393526271734883,1.7393526271734883
sinr_db,1.47017829460604,1.47017829460604
prb_dl_util_lag_2,1.4126155577272153,-1.4126155577272153
prb_dl_util_lag_6,0.9372228455422098,0.9372228455422098
prb_dl_util_lag_3,0.9000196224985885,0.9000196224985885
dayofweek,0.6388925845785839,-0.6388925845785839
dayofmonth,0.6388925828860952,-0.6388925828860952
throughput_ul_mbps,0.6277571008948938,0.6277571008948938
prb_dl_util_lag_12,0.5978196148521864,-0.5978196148521864
dow_sin,0.5650556422746781,-0.5650556422746781
latency_ms,0.5580353223979277,0.5580353223979277
hour,0.1790186356481831,-0.1790186356481831
weekofyear,0.0,0.0
